transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
109,1042,2048,5995.17,2023-01-01 00:01:48,0,MasterCard,City-35,Restaurant,68,Purchase at Merchant-2048
110,1099,2040,5301.07,2023-01-01 00:01:49,0,American Express,City-49,Online Shopping,64,Purchase at Merchant-2040
111,1100,2003,3417.56,2023-01-01 00:01:50,0,MasterCard,City-29,Travel,56,Purchase at Merchant-2003
112,1008,2083,3739.81,2023-01-01 00:01:51,1,American Express,City-28,Restaurant,68,Purchase at Merchant-2083
113,1030,2078,6888.26,2023-01-01 00:01:52,1,Visa,City-37,Groceries,32,Purchase at Merchant-2078
114,1005,2005,1290.05,2023-01-01 00:01:53,0,Discover,City-21,Travel,49,Purchase at Merchant-2005
115,1041,2095,5657.62,2023-01-01 00:01:54,1,Discover,City-24,Online Shopping,48,Purchase at Merchant-2095
116,1052,2085,4740.5,2023-01-01 00:01:55,1,Discover,City-37,Online Shopping,64,Purchase at Merchant-2085
117,1035,2007,186.92,2023-01-01 00:01:56,0,American Express,City-7,Online Shopping,48,Purchase at Merchant-2007
118,1009,2089,3706.39,2023-01-01 00:01:57,1,Visa,City-41,Retail,68,Purchase at Merchant-2089
119,1028,2086,2468.64,2023-01-01 00:01:58,0,Discover,City-11,Groceries,29,Purchase at Merchant-2086
120,1073,2031,9446.32,2023-01-01 00:01:59,0,Discover,City-27,Online Shopping,37,Purchase at Merchant-2031
121,1092,2033,6885.93,2023-01-01 00:02:00,0,American Express,City-34,Restaurant,67,Purchase at Merchant-2033
122,1041,2071,9102.36,2023-01-01 00:02:01,0,American Express,City-6,Online Shopping,65,Purchase at Merchant-2071
123,1028,2050,9026.52,2023-01-01 00:02:02,0,Discover,City-15,Travel,29,Purchase at Merchant-2050
124,1084,2040,6342.38,2023-01-01 00:02:03,0,American Express,City-3,Groceries,34,Purchase at Merchant-2040
125,1064,2082,9019.38,2023-01-01 00:02:04,1,Visa,City-32,Restaurant,28,Purchase at Merchant-2082
126,1051,2090,4767.11,2023-01-01 00:02:05,0,Visa,City-34,Retail,48,Purchase at Merchant-2090
127,1083,2047,2812.51,2023-01-01 00:02:06,1,Visa,City-16,Travel,50,Purchase at Merchant-2047
128,1059,2088,3414.17,2023-01-01 00:02:07,1,Discover,City-29,Restaurant,37,Purchase at Merchant-2088
129,1019,2016,7940.24,2023-01-01 00:02:08,0,Discover,City-14,Restaurant,68,Purchase at Merchant-2016
130,1034,2069,6986.31,2023-01-01 00:02:09,1,Discover,City-7,Groceries,62,Purchase at Merchant-2069
131,1018,2031,9019.54,2023-01-01 00:02:10,0,MasterCard,City-34,Groceries,22,Purchase at Merchant-2031
132,1032,2057,9655.08,2023-01-01 00:02:11,1,Discover,City-45,Gas Station,29,Purchase at Merchant-2057
133,1096,2050,7818.14,2023-01-01 00:02:12,0,American Express,City-45,Travel,52,Purchase at Merchant-2050
134,1072,2002,5727.03,2023-01-01 00:02:13,0,Visa,City-16,Groceries,60,Purchase at Merchant-2002
135,1069,2051,9114.69,2023-01-01 00:02:14,1,Discover,City-23,Groceries,49,Purchase at Merchant-2051
136,1034,2033,7083.97,2023-01-01 00:02:15,1,MasterCard,City-38,Groceries,58,Purchase at Merchant-2033
137,1096,2039,6097.78,2023-01-01 00:02:16,1,Discover,City-20,Restaurant,44,Purchase at Merchant-2039
138,1075,2012,8135.09,2023-01-01 00:02:17,1,American Express,City-7,Travel,67,Purchase at Merchant-2012
139,1055,2097,2498.5,2023-01-01 00:02:18,1,MasterCard,City-11,Groceries,68,Purchase at Merchant-2097
140,1075,2031,5637.35,2023-01-01 00:02:19,1,Discover,City-48,Restaurant,24,Purchase at Merchant-2031
141,1052,2039,8906.66,2023-01-01 00:02:20,0,Discover,City-16,Gas Station,26,Purchase at Merchant-2039
142,1047,2027,3141.47,2023-01-01 00:02:21,0,Visa,City-49,Travel,66,Purchase at Merchant-2027
143,1029,2021,8808.47,2023-01-01 00:02:22,0,Visa,City-48,Restaurant,65,Purchase at Merchant-2021
144,1018,2057,3847.59,2023-01-01 00:02:23,0,MasterCard,City-17,Travel,50,Purchase at Merchant-2057
145,1066,2081,1492.07,2023-01-01 00:02:24,0,American Express,City-21,Groceries,27,Purchase at Merchant-2081
146,1064,2041,3223.33,2023-01-01 00:02:25,0,MasterCard,City-38,Travel,45,Purchase at Merchant-2041
147,1012,2099,5297.06,2023-01-01 00:02:26,1,Visa,City-46,Gas Station,24,Purchase at Merchant-2099
148,1097,2083,4632.27,2023-01-01 00:02:27,0,Discover,City-12,Online Shopping,28,Purchase at Merchant-2083
149,1007,2053,9005.3,2023-01-01 00:02:28,1,American Express,City-13,Gas Station,35,Purchase at Merchant-2053
150,1015,2005,9471.97,2023-01-01 00:02:29,1,American Express,City-12,Gas Station,63,Purchase at Merchant-2005
151,1020,2036,7280.99,2023-01-01 00:02:30,0,MasterCard,City-24,Groceries,55,Purchase at Merchant-2036
152,1081,2011,678.59,2023-01-01 00:02:31,0,American Express,City-45,Travel,57,Purchase at Merchant-2011
153,1021,2100,3901.87,2023-01-01 00:02:32,1,MasterCard,City-34,Restaurant,53,Purchase at Merchant-2100
154,1088,2063,1939.89,2023-01-01 00:02:33,0,Discover,City-4,Gas Station,47,Purchase at Merchant-2063
155,1055,2061,7701.76,2023-01-01 00:02:34,0,Visa,City-48,Online Shopping,46,Purchase at Merchant-2061
156,1077,2095,7121.96,2023-01-01 00:02:35,0,American Express,City-12,Restaurant,56,Purchase at Merchant-2095
157,1009,2053,3644.19,2023-01-01 00:02:36,0,Discover,City-19,Online Shopping,54,Purchase at Merchant-2053
158,1050,2043,7779.82,2023-01-01 00:02:37,1,Visa,City-23,Online Shopping,56,Purchase at Merchant-2043
159,1049,2092,4742.73,2023-01-01 00:02:38,1,American Express,City-21,Restaurant,36,Purchase at Merchant-2092
160,1077,2055,2241.1,2023-01-01 00:02:39,0,Visa,City-32,Gas Station,60,Purchase at Merchant-2055
161,1060,2013,40.5,2023-01-01 00:02:40,1,Discover,City-5,Groceries,50,Purchase at Merchant-2013
162,1068,2021,3568.13,2023-01-01 00:02:41,0,MasterCard,City-7,Travel,22,Purchase at Merchant-2021
163,1033,2090,6210.32,2023-01-01 00:02:42,1,Discover,City-50,Groceries,55,Purchase at Merchant-2090
164,1071,2034,5623.16,2023-01-01 00:02:43,1,American Express,City-25,Restaurant,37,Purchase at Merchant-2034
165,1002,2065,7839.01,2023-01-01 00:02:44,1,Visa,City-12,Groceries,62,Purchase at Merchant-2065
166,1088,2009,9567.11,2023-01-01 00:02:45,1,Discover,City-45,Retail,20,Purchase at Merchant-2009
167,1093,2046,4852.13,2023-01-01 00:02:46,1,American Express,City-30,Travel,44,Purchase at Merchant-2046
168,1015,2054,3148.54,2023-01-01 00:02:47,1,Discover,City-18,Gas Station,63,Purchase at Merchant-2054
169,1088,2078,8833.3,2023-01-01 00:02:48,1,MasterCard,City-50,Online Shopping,53,Purchase at Merchant-2078
170,1069,2094,2008.58,2023-01-01 00:02:49,0,Discover,City-14,Retail,25,Purchase at Merchant-2094
171,1097,2071,8109.18,2023-01-01 00:02:50,1,MasterCard,City-22,Travel,29,Purchase at Merchant-2071
172,1035,2095,1890.07,2023-01-01 00:02:51,0,Visa,City-7,Online Shopping,47,Purchase at Merchant-2095
173,1099,2042,9237.85,2023-01-01 00:02:52,0,MasterCard,City-19,Restaurant,40,Purchase at Merchant-2042
174,1083,2059,6054.76,2023-01-01 00:02:53,1,MasterCard,City-39,Retail,43,Purchase at Merchant-2059
175,1044,2089,2963.24,2023-01-01 00:02:54,1,Discover,City-9,Online Shopping,23,Purchase at Merchant-2089
176,1015,2004,615.02,2023-01-01 00:02:55,0,MasterCard,City-33,Restaurant,64,Purchase at Merchant-2004
177,1038,2098,8848.87,2023-01-01 00:02:56,1,American Express,City-27,Retail,18,Purchase at Merchant-2098
178,1056,2007,5239.79,2023-01-01 00:02:57,1,Discover,City-13,Groceries,36,Purchase at Merchant-2007
179,1021,2083,5046.25,2023-01-01 00:02:58,0,Visa,City-9,Groceries,20,Purchase at Merchant-2083
180,1059,2083,2489.78,2023-01-01 00:02:59,1,MasterCard,City-32,Travel,53,Purchase at Merchant-2083
181,1001,2024,3766.33,2023-01-01 00:03:00,0,American Express,City-45,Travel,45,Purchase at Merchant-2024
182,1093,2081,7009.45,2023-01-01 00:03:01,1,Discover,City-4,Travel,48,Purchase at Merchant-2081
183,1093,2057,8528.48,2023-01-01 00:03:02,0,Discover,City-10,Retail,30,Purchase at Merchant-2057
184,1034,2083,2988.79,2023-01-01 00:03:03,0,MasterCard,City-14,Restaurant,27,Purchase at Merchant-2083
185,1065,2018,2050.36,2023-01-01 00:03:04,1,Visa,City-7,Restaurant,38,Purchase at Merchant-2018
186,1098,2001,2968.07,2023-01-01 00:03:05,1,MasterCard,City-30,Retail,68,Purchase at Merchant-2001
187,1023,2052,297.92,2023-01-01 00:03:06,1,MasterCard,City-17,Groceries,51,Purchase at Merchant-2052
188,1065,2026,6443.44,2023-01-01 00:03:07,1,Visa,City-41,Restaurant,43,Purchase at Merchant-2026
189,1014,2081,4220.02,2023-01-01 00:03:08,0,Visa,City-3,Restaurant,50,Purchase at Merchant-2081
190,1081,2040,3692.63,2023-01-01 00:03:09,0,American Express,City-9,Online Shopping,35,Purchase at Merchant-2040
191,1039,2041,7760.21,2023-01-01 00:03:10,1,Discover,City-34,Gas Station,51,Purchase at Merchant-2041
192,1082,2074,9929.87,2023-01-01 00:03:11,1,American Express,City-48,Groceries,22,Purchase at Merchant-2074
193,1065,2011,4472.38,2023-01-01 00:03:12,1,Visa,City-5,Retail,19,Purchase at Merchant-2011
194,1078,2015,3826.37,2023-01-01 00:03:13,1,American Express,City-3,Online Shopping,42,Purchase at Merchant-2015
195,1026,2021,1578.21,2023-01-01 00:03:14,0,MasterCard,City-25,Restaurant,28,Purchase at Merchant-2021
196,1020,2032,4446.95,2023-01-01 00:03:15,0,MasterCard,City-1,Retail,35,Purchase at Merchant-2032
197,1048,2067,3147.73,2023-01-01 00:03:16,1,American Express,City-50,Retail,47,Purchase at Merchant-2067
198,1098,2092,9369.66,2023-01-01 00:03:17,1,MasterCard,City-41,Online Shopping,22,Purchase at Merchant-2092
199,1021,2099,4564.87,2023-01-01 00:03:18,0,American Express,City-32,Groceries,42,Purchase at Merchant-2099
200,1070,2084,1985.83,2023-01-01 00:03:19,1,Discover,City-25,Groceries,40,Purchase at Merchant-2084
201,1100,2098,6069.36,2023-01-01 00:03:20,1,Discover,City-15,Online Shopping,43,Purchase at Merchant-2098
202,1068,2017,2854.78,2023-01-01 00:03:21,0,Visa,City-19,Travel,57,Purchase at Merchant-2017
203,1001,2077,5868.94,2023-01-01 00:03:22,0,Visa,City-18,Retail,30,Purchase at Merchant-2077
204,1077,2088,3234.81,2023-01-01 00:03:23,1,Visa,City-14,Groceries,58,Purchase at Merchant-2088
205,1042,2053,179.39,2023-01-01 00:03:24,0,American Express,City-14,Travel,66,Purchase at Merchant-2053
206,1063,2041,533.71,2023-01-01 00:03:25,1,Discover,City-18,Restaurant,62,Purchase at Merchant-2041
207,1003,2058,3272.11,2023-01-01 00:03:26,0,MasterCard,City-44,Gas Station,68,Purchase at Merchant-2058
208,1015,2062,4776.24,2023-01-01 00:03:27,0,Discover,City-27,Retail,68,Purchase at Merchant-2062
209,1047,2095,1426.11,2023-01-01 00:03:28,1,Visa,City-1,Restaurant,52,Purchase at Merchant-2095
210,1040,2018,8319.73,2023-01-01 00:03:29,0,MasterCard,City-12,Retail,65,Purchase at Merchant-2018
211,1031,2034,3756.54,2023-01-01 00:03:30,0,Visa,City-42,Retail,44,Purchase at Merchant-2034
212,1008,2023,264.4,2023-01-01 00:03:31,1,MasterCard,City-48,Travel,38,Purchase at Merchant-2023
213,1031,2088,4348.25,2023-01-01 00:03:32,0,American Express,City-25,Restaurant,22,Purchase at Merchant-2088
214,1073,2076,3245.6,2023-01-01 00:03:33,1,Visa,City-14,Groceries,29,Purchase at Merchant-2076
215,1011,2042,1788.2,2023-01-01 00:03:34,1,MasterCard,City-16,Online Shopping,19,Purchase at Merchant-2042
216,1011,2037,6134.69,2023-01-01 00:03:35,0,Discover,City-47,Gas Station,39,Purchase at Merchant-2037
217,1094,2026,7607.71,2023-01-01 00:03:36,1,American Express,City-24,Travel,34,Purchase at Merchant-2026
218,1063,2011,6439.77,2023-01-01 00:03:37,1,MasterCard,City-26,Online Shopping,25,Purchase at Merchant-2011
219,1009,2054,3246.9,2023-01-01 00:03:38,1,MasterCard,City-18,Groceries,40,Purchase at Merchant-2054
220,1098,2048,7567.35,2023-01-01 00:03:39,1,American Express,City-5,Online Shopping,68,Purchase at Merchant-2048
221,1069,2024,403.42,2023-01-01 00:03:40,1,Discover,City-46,Restaurant,26,Purchase at Merchant-2024
222,1099,2051,5121.97,2023-01-01 00:03:41,1,American Express,City-26,Groceries,50,Purchase at Merchant-2051
223,1017,2049,7230.54,2023-01-01 00:03:42,0,Discover,City-41,Online Shopping,19,Purchase at Merchant-2049
224,1017,2074,7139.5,2023-01-01 00:03:43,1,Discover,City-12,Groceries,64,Purchase at Merchant-2074
225,1085,2029,4971.8,2023-01-01 00:03:44,0,Visa,City-38,Travel,48,Purchase at Merchant-2029
226,1061,2003,9270.22,2023-01-01 00:03:45,1,Discover,City-36,Retail,50,Purchase at Merchant-2003
227,1071,2003,1407.72,2023-01-01 00:03:46,0,Visa,City-43,Groceries,44,Purchase at Merchant-2003
228,1022,2072,1031.51,2023-01-01 00:03:47,0,Discover,City-32,Online Shopping,66,Purchase at Merchant-2072
229,1034,2083,1642.18,2023-01-01 00:03:48,0,Visa,City-3,Restaurant,37,Purchase at Merchant-2083
230,1068,2079,7141.4,2023-01-01 00:03:49,1,Visa,City-11,Travel,47,Purchase at Merchant-2079
231,1078,2081,927.68,2023-01-01 00:03:50,0,Discover,City-22,Restaurant,67,Purchase at Merchant-2081
232,1055,2030,3609.57,2023-01-01 00:03:51,0,American Express,City-10,Restaurant,48,Purchase at Merchant-2030
233,1028,2012,3577.24,2023-01-01 00:03:52,1,Discover,City-7,Groceries,18,Purchase at Merchant-2012
234,1070,2060,820.78,2023-01-01 00:03:53,0,Visa,City-24,Online Shopping,25,Purchase at Merchant-2060
235,1097,2026,3442.3,2023-01-01 00:03:54,0,American Express,City-47,Online Shopping,44,Purchase at Merchant-2026
236,1094,2034,705.07,2023-01-01 00:03:55,1,MasterCard,City-47,Online Shopping,55,Purchase at Merchant-2034
237,1089,2090,4011.59,2023-01-01 00:03:56,0,MasterCard,City-6,Gas Station,42,Purchase at Merchant-2090
238,1026,2022,630.88,2023-01-01 00:03:57,1,Discover,City-18,Travel,26,Purchase at Merchant-2022
239,1092,2007,4169.37,2023-01-01 00:03:58,0,Visa,City-44,Online Shopping,19,Purchase at Merchant-2007
240,1040,2052,7899.39,2023-01-01 00:03:59,1,Visa,City-41,Gas Station,65,Purchase at Merchant-2052
241,1052,2080,6948.92,2023-01-01 00:04:00,0,American Express,City-47,Online Shopping,27,Purchase at Merchant-2080
242,1086,2055,5485.49,2023-01-01 00:04:01,1,Visa,City-15,Online Shopping,60,Purchase at Merchant-2055
243,1084,2077,903.84,2023-01-01 00:04:02,1,Discover,City-23,Travel,33,Purchase at Merchant-2077
244,1048,2034,2080.47,2023-01-01 00:04:03,0,American Express,City-7,Restaurant,30,Purchase at Merchant-2034
